id,title,author,price
1,Bitchip,Adrien,1863
2,Cookley,Konstantin,341
3,Redhold,Papagena,2
4,Cardguard,Carola,56143
5,Bamity,Terrence,81945
6,Greenlam,Reamonn,1
7,Rank,Godwin,5
8,Job,Dale,73915
9,Sub-Ex,Milo,0
10,Fixflex,Dwayne,9937
11,Zaam-Dox,Darrin,1151
12,Stringtough,Vitoria,8
13,Opela,Chloette,2
14,Tres-Zap,Lothaire,17364
15,Transcof,Karine,8897
16,Greenlam,Lida,328
17,Transcof,Juline,46394
18,It,Burgess,477
19,Tampflex,Orella,50245
20,Aerified,Wrennie,15789
21,Stronghold,Thatch,2
22,Treeflex,Odette,8
23,Job,Jillie,18
24,Domainer,Early,14
25,Konklab,Fulvia,81
26,Zamit,Allys,0
27,Overhold,Candra,816
28,Alpha,Bria,9
29,Zoolab,Martica,44
